t,value
1773145530,14424
1773145560,13824
1773145590,13824
1773145620,13888
1773145650,13952
1773145680,13952
1773145710,14016
1773145740,14016
1773145770,14080
1773145800,14144
1773145830,14144
1773145860,14208
1773145890,14272
1773145920,14272
1773145950,14272
1773145980,14336
1773146070,0
1773146100,12696
1773146131,13336
1773146161,13464
1773146191,13912
1773146221,14104
1773146251,14360
1773146281,14616
1773146311,14744
1773146341,14936
1773146371,15192
1773146401,15384
1773146431,15576
1773146461,15832
1773146491,16024
1773146521,16280
1773146551,16408
1773146581,16600
1773146611,16792
1773146641,17048
1773146671,17304
1773146701,17432
1773146731,17688
1773146761,17816
1773146791,18008
1773146821,18264
1773146851,18456
1773146881,18648
1773146911,18904
1773146941,19032
1773146971,19224
1773147001,19416
1773147031,19672
1773147061,19864
1773147091,20056
1773147121,20248
1773147151,20440
1773147181,20632
1773147211,20824
1773147241,21080
1773147271,21272
1773147301,21464
1773147331,21656
1773147361,21720
1773147392,21720
1773147422,21784
1773147452,21848
1773147482,21848
1773147512,21912
1773147542,21912
1773147572,21976
1773147602,22040
1773147632,22040
1773147662,22104
1773147692,22168
1773147722,22168
1773147752,22232
1773147782,22232
1773147812,22232
1773147842,22296
1773147872,22360
1773147902,22360
1773147932,22424
1773147962,22488
1773147992,22488
1773148022,22552
1773148052,22552
1773148082,22616
1773148112,22680
1773148142,22680
1773148172,22744
1773148202,22808
1773148232,22808
1773148262,22872
1773148292,22872
1773148322,22936
1773148352,23000
1773148382,23000
1773148412,23064
1773148442,23128
1773148472,23128
1773148502,23192
1773148532,23192
1773148562,23256
1773148592,23320
1773148622,23320
1773148652,23384
1773148682,23448
1773148712,23448
1773148742,23512
1773148772,23512
1773148802,23512
1773148832,23576
1773148862,23640
1773148892,23640
1773148922,23704
1773148952,23768
1773148982,23960
1773149012,23960
1773149042,24024
1773149072,24088
1773149102,24088
1773149132,24152
1773149162,24216
1773149192,24216
1773149222,24280
1773149252,24280
1773149282,24344
1773149312,24408
1773149342,24408
1773149372,24472
1773149402,24536
1773149432,24536
1773149462,24600
1773149492,24600
1773149522,24664
1773149552,24728
1773149582,24728
1773149612,24792
1773149642,24856
1773149672,24856
1773149702,24856
1773149732,3656
1773149762,3720
1773149792,3784
1773149822,7880
1773149852,8136
1773149882,8328
1773149912,8520
1773149942,8712
1773149972,8968
1773150002,9096
1773150032,9352
1773150062,9544
1773150092,9736
1773150122,9928
1773150152,10120
1773150182,10312
1773150212,10504
1773150242,10696
1773150272,10952
1773150302,11144
1773150333,11336
1773150363,11528
1773150393,11720
1773150423,11912
1773150453,12104
1773150483,12296
1773150513,12616
1773150543,12680
1773150573,12872
1773150603,13192
1773150633,13320
1773150663,13512
1773150693,13704
1773150723,13896
1773150753,14152
1773150783,14280
1773150813,14536
1773150843,14728
1773150873,14920
1773150903,15112
1773150933,15304
1773150963,15496
1773150993,15688
1773151023,15944
1773151053,16136
1773151083,16328
1773151113,16520
1773151143,16712
1773151173,16968
1773151203,17096
1773151233,17352
1773151263,17544
1773151293,17736
1773151323,17864
1773151353,18120
1773151383,18376
1773151413,18504
1773151443,18760
1773151473,18952
1773151503,19080
1773151533,19336
1773151563,19528
1773151593,19784
1773151623,19912
1773151653,20168
1773151683,20296
1773151713,20552
1773151743,20744
1773151773,20872
1773151803,21128
1773151833,21320
1773151863,21512
1773151893,21768
1773151923,21896
1773151953,22088
1773151983,22344
1773152013,22536
1773152043,22792
1773152073,22920
1773152103,23112
1773152133,23304
1773152163,23560
1773152193,23688
1773152223,24008
1773152253,24136
1773152283,24264
1773152313,24584
1773152343,24648
1773152373,24968
1773152403,25096
1773152433,25288
1773152463,25544
1773152493,25800
1773152523,25928
1773152553,26184
1773152583,26248
1773152613,26248
1773152643,26312
1773152673,26376
1773152703,26376
1773152733,26440
1773152763,26504
1773152793,26504
1773152823,26568
1773152853,26568
1773152883,26632
1773152913,26696
1773206880,14168
1773206912,14552
1773206942,14616
1773206972,15472
1773207002,15536
1773207032,15600
1773207062,15664
1773207092,15664
1773207122,15792
1773207152,15792
1773207182,15856
1773207212,15920
1773207242,15920
1773207272,15984
1773207302,16048
1773207332,16304
1773207362,16304
1773207392,16368
1773207422,16432
1773207452,16432
1773207482,16496
1773207512,16560
1773207542,16560
1773207572,17416
1773207602,17544
1773207632,18464
1773207662,18784
1773207693,19040
1773207723,19296
1773207753,19424
1773207783,20408
1773207813,20600
1773207843,20856
1773207873,21048
1773207903,21048
1773207933,21112
1773207963,21368
1773207993,21496
1773208023,21496
1773208053,22072
1773208083,22840
1773208113,23160
1773208143,23352
1773208173,3024
1773208203,15696
1773211140,-48
1773211173,13968
1773211203,14032
1773211233,14096
1773211263,14224
1773211293,14352
1773211323,14416
1773211353,14544
1773211383,14608
1773211413,14672
1773211443,14736
1773211473,14864
1773211503,14928
1773211533,14992
1773211563,15056
1773211593,15056
1773211623,15120
1773211653,15184
1773211683,15248
1773211713,15312
1773211743,15376
1773211773,15504
1773211803,15632
1773211833,15696
1773211863,15824
1773211893,15824
1773211923,15952
1773211953,16016
1773211983,16080
1773212013,16336
1773212043,16400
1773212073,16528
1773212103,16528
1773212133,16656
1773212163,16720
1773212193,16784
1773212223,16848
1773212253,16976
1773212283,17040
1773212313,17168
1773212343,17208
1773212373,17152
1773212403,17056
1773212433,17000
1773212670,-96
1773212820,-72
1773212851,13688
1773212881,14072
1773212911,14136
1773212941,14200
1773212971,14264
1773213001,14264
1773213031,14328
1773213061,14328
1773213091,14392
1773213121,14456
1773213151,15184
1773213181,15152
1773213211,15152
1773213241,15216
1773213271,15280
1773213301,15944
1773213331,15944
1773213361,16008
1773213391,16072
1773213421,16072
1773213451,16136
1773213481,16200
1773213511,16264
1773213541,16392
1773213571,16456
1773213601,16584
1773213631,16712
1773213661,16840
1773213691,16904
1773213721,16904
1773213751,16968
1773213781,17096
1773213811,17160
1773213841,17288
1773213871,17416
1773213901,17480
1773213931,17608
1773213961,17672
1773213991,17800
1773214021,17928
1773214051,18056
1773214081,18056
1773214111,18120
1773214141,18184
1773214171,18248
1773214201,18248
1773214231,18376
1773214261,19168
1773214291,19232
1773214321,19232
1773214352,19552
1773214382,19744
1773214412,19872
1773214442,20000
1773214472,20064
1773214502,20064
1773214532,20128
1773214562,20192
1773214592,20256
1773214622,20856
1773214652,20920
1773214682,20984
1773214712,20984
1773214742,21048
1773214772,21048
1773214802,21112
1773214832,21176
1773214862,21176
1773214892,21240
1773214922,21368
1773214952,21432
1773214982,21496
1773215012,21624
1773215042,21688
1773215072,21752
1773215102,21816
1773215132,21944
1773215162,22008
1773215192,22136
1773215222,22264
1773215252,22328
1773215282,22392
1773215312,22456
1773215342,22584
1773215372,22648
1773215402,22712
1773215432,22776
1773215462,22904
1773215492,22968
1773215522,23032
1773215552,23096
1773215582,23224
1773215612,23288
1773215642,23352
1773215672,23416
1773215702,23544
1773215732,23608
1773215762,23672
1773215792,23736
1773215822,23864
1773215852,23928
1773215882,23992
1773215912,24056
1773215942,24184
1773215972,24248
1773216002,24312
1773216032,24376
1773216062,24504
1773216092,24568
1773216122,24696
1773216152,24760
1773216182,24824
1773216212,24952
1773216242,25016
1773216272,25080
1773216302,25144
1773216332,25272
1773216362,25336
1773216392,25400
1773216422,25464
1773216452,4264
1773216482,4328
1773216512,4392
1773216542,4520
1773216572,4584
1773216602,3096
1773216632,3096
1773216662,3000
1773216692,15672
1773243090,616
1773243124,1448
1773243154,12712
1773243184,12840
1773243214,12904
1773243244,12968
1773243274,13096
1773243304,13160
1773243334,13224
1773243364,13288
1773243394,13416
1773243427,4952
1773243457,5080
1773243487,5144
1773243517,5208
1773243547,5336
1773243577,5400
1773243607,5464
1773243637,5528
1773243667,5656
1773243697,5720
1773243727,5784
1773243757,5848
1773243787,5976
1773243930,4088
1773243960,4088
1773243990,4216
1773244020,4280
1773244050,4344
1773244080,4408
1773244110,4536
1773244140,4600
1773244170,4664
1773244200,4728
1773244230,4856
1773244260,4920
1773244290,4984
1773244320,5048
1773244350,5240
1773244380,5368
1773244410,5496
1773244440,5560
1773244470,5688
1773244500,5752
1773244530,5880
1773244560,5944
1773244590,6008
1773244620,6136
1773244650,6200
1773244680,6264
1773244710,6328
1773244740,6456
1773244770,6520
1773244800,6584
1773244830,8120
1773244860,8184
1773244890,8184
1773244920,8248
1773244950,8440
1773244981,8504
1773245011,8632
1773245041,8696
1773245071,8760
1773245101,8952
1773245131,9016
1773245161,9080
1773245191,9144
1773245221,9272
1773245251,9272
1773245281,9336
1773245311,9400
1773245341,9464
1773245371,9464
1773245401,9528
1773249690,12696
1773249722,12824
1773249752,12888
1773249782,12952
1773249812,13080
1773249842,13144
1773249872,13208
1773249902,13272
1773249932,13400
1773249962,13528
1773249992,13592
1773250022,13720
1773250052,13784
1773250082,13784
1773250112,13912
1773250142,14104
1773250173,14104
1773250203,14104
1773250233,14168
1773250263,14232
1773250293,14232
1773250323,14296
1773250353,14360
1773250383,14360
1773250413,14424
1773250443,14424
1773250473,14552
1773250503,14680
1773250533,14744
1773250563,14872
1773250593,15000
1773250623,15064
1773250653,15192
1773250683,15256
1773250713,15320
1773250743,15384
1773250773,15512
1773250803,15576
1773250833,15640
1773250863,15704
1773250893,15832
1773250923,15896
1773250953,16024
1773250983,16088
1773251013,16216
1773251043,16280
1773251073,16344
1773251103,16472
1773251133,16536
1773251163,16664
1773251193,16728
1773251223,16792
1773251253,16792
1773251283,16856
1773251313,16920
1773251343,16920
1773251373,16984
1773251403,16984
1773251433,17048
1773251463,17112
1773251493,17112
1773251523,17176
1773251553,17240
1773251583,17304
1773251613,17368
1773251643,17432
1773251673,17560
1773251703,17624
1773251733,17752
1773251763,17752
1773251793,17944
1773251823,18072
1773251853,18200
1773251883,18264
1773251913,18328
1773251943,18392
1773251973,18648
1773252003,18712
1773252033,18776
1773252063,18840
1773252093,18904
1773252123,19032
1773252153,19096
1773252183,19160
1773252213,19224
1773252243,19288
1773252273,19352
1773252303,19416
1773252333,19480
1773252363,19544
