t,value
1773145530,-1
1773145560,-1
1773145590,-1
1773145620,-1
1773145650,-1
1773145680,-1
1773145710,-1
1773145740,-1
1773145770,-1
1773145800,-1
1773145830,-1
1773145860,-1
1773145890,-1
1773145920,-1
1773145950,-1
1773145980,-1
1773146070,-1
1773146100,-1
1773146131,-1
1773146161,-1
1773146191,-1
1773146221,-1
1773146251,-1
1773146281,-1
1773146311,-1
1773146341,-1
1773146371,-1
1773146401,-1
1773146431,-1
1773146461,-1
1773146491,-1
1773146521,-1
1773146551,-1
1773146581,-1
1773146611,-1
1773146641,-1
1773146671,-1
1773146701,-1
1773146731,-1
1773146761,-1
1773146791,-1
1773146821,-1
1773146851,-1
1773146881,-1
1773146911,-1
1773146941,-1
1773146971,-1
1773147001,-1
1773147031,-1
1773147061,-1
1773147091,-1
1773147121,-1
1773147151,-1
1773147181,-1
1773147211,-1
1773147241,-1
1773147271,-1
1773147301,-1
1773147331,-1
1773147361,-1
1773147392,-1
1773147422,-1
1773147452,-1
1773147482,-1
1773147512,-1
1773147542,-1
1773147572,-1
1773147602,-1
1773147632,-1
1773147662,-1
1773147692,-1
1773147722,-1
1773147752,-1
1773147782,-1
1773147812,-1
1773147842,-1
1773147872,-1
1773147902,-1
1773147932,-1
1773147962,-1
1773147992,-1
1773148022,-1
1773148052,-1
1773148082,-1
1773148112,-1
1773148142,-1
1773148172,-1
1773148202,-1
1773148232,-1
1773148262,-1
1773148292,-1
1773148322,-1
1773148352,-1
1773148382,-1
1773148412,-1
1773148442,-1
1773148472,-1
1773148502,-1
1773148532,-1
1773148562,-1
1773148592,-1
1773148622,-1
1773148652,-1
1773148682,-1
1773148712,-1
1773148742,-1
1773148772,-1
1773148802,-1
1773148832,-1
1773148862,-1
1773148892,-1
1773148922,-1
1773148952,-1
1773148982,-1
1773149012,-1
1773149042,-1
1773149072,-1
1773149102,-1
1773149132,-1
1773149162,-1
1773149192,-1
1773149222,-1
1773149252,-1
1773149282,-1
1773149312,-1
1773149342,-1
1773149372,-1
1773149402,-1
1773149432,-1
1773149462,-1
1773149492,-1
1773149522,-1
1773149552,-1
1773149582,-1
1773149612,-1
1773149642,-1
1773149672,-1
1773149702,-1
1773149732,-1
1773149762,-1
1773149792,-1
1773149822,-1
1773149852,-1
1773149882,-1
