t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,35,1.26176915176307,0.0,0.0,0.0,events/second
1773145560,35,0.6057730385187571,0.0,0.0,0.0,events/second
1773145590,35,0.39865181060396915,0.0,0.0,0.0,events/second
1773145620,35,0.2970955962522253,0.0,0.0,0.0,events/second
1773145650,35,0.23676235846713195,0.0,0.0,0.0,events/second
1773145680,35,0.1967890896935068,0.0,0.0,0.0,events/second
1773145710,35,0.16837736546565513,0.0,0.0,0.0,events/second
1773145740,35,0.14713466365904582,0.0,0.0,0.0,events/second
1773145770,35,0.1306460410709981,0.0,0.0,0.0,events/second
1773145800,35,0.11748368040992695,0.0,0.0,0.0,events/second
1773145830,35,0.1067216282157549,0.0,0.0,0.0,events/second
1773145860,35,0.09777506607478335,0.0,0.0,0.0,events/second
1773145890,35,0.09021254108703121,0.0,0.0,0.0,events/second
1773145920,35,0.08373482911924081,0.0,0.0,0.0,events/second
1773145950,35,0.07812553882207557,0.0,0.0,0.0,events/second
1773145980,35,0.07322090440586668,0.0,0.0,0.0,events/second
1773146070,10,10.177318400764683,0.0,0.0,0.0,events/second
1773146100,28,0.8824000022009577,0.0,0.0,0.0,events/second
1773146131,28,0.4535280380168452,0.0,0.0,0.0,events/second
1773146161,28,0.3051823315818305,0.0,0.0,0.0,events/second
1773146191,28,0.2299631633835253,0.0,0.0,0.0,events/second
1773146221,28,0.1844909519558843,0.0,0.0,0.0,events/second
1773146251,28,0.15403482500962273,0.0,0.0,0.0,events/second
1773146281,28,0.13220958547579792,0.0,0.0,0.0,events/second
1773146311,28,0.11580189133869151,0.0,0.0,0.0,events/second
1773146341,28,0.10301607495173236,0.0,0.0,0.0,events/second
1773146371,28,0.09277294556103732,0.0,0.0,0.0,events/second
1773146401,28,0.08438190095716445,0.0,0.0,0.0,events/second
1773146431,28,0.07738402128745765,0.0,0.0,0.0,events/second
1773146461,28,0.0714575926902721,0.0,0.0,0.0,events/second
1773146491,28,0.06637446005976841,0.0,0.0,0.0,events/second
1773146521,28,0.06196611944525271,0.0,0.0,0.0,events/second
1773146551,28,0.05810692623229838,0.0,0.0,0.0,events/second
1773146581,28,0.05470048644034907,0.0,0.0,0.0,events/second
1773146611,28,0.05167111084170286,0.0,0.0,0.0,events/second
1773146641,28,0.048959594172021476,0.0,0.0,0.0,events/second
1773146671,28,0.046518541868217564,0.0,0.0,0.0,events/second
1773146701,28,0.04430921281134272,0.0,0.0,0.0,events/second
1773146731,28,0.04230047546947545,0.0,0.0,0.0,events/second
1773146761,28,0.04046582340131902,0.0,0.0,0.0,events/second
1773146791,28,0.038783716139348716,0.0,0.0,0.0,events/second
1773146821,28,0.03723607077522795,0.0,0.0,0.0,events/second
1773146851,28,0.03580726598972315,0.0,0.0,0.0,events/second
1773146881,28,0.03448416985561326,0.0,0.0,0.0,events/second
1773146911,28,0.033255237845244444,0.0,0.0,0.0,events/second
1773146941,28,0.032110974220447945,0.0,0.0,0.0,events/second
1773146971,28,0.031042720314522074,0.0,0.0,0.0,events/second
1773147001,28,0.030043246896607628,0.0,0.0,0.0,events/second
1773147031,28,0.02910612550418552,0.0,0.0,0.0,events/second
1773147061,28,0.02822534856361959,0.0,0.0,0.0,events/second
1773147091,28,0.027396711583784695,0.0,0.0,0.0,events/second
1773147121,28,0.02661522150427748,0.0,0.0,0.0,events/second
1773147151,28,0.02587715165935264,0.0,0.0,0.0,events/second
1773147181,28,0.025178957296525563,0.0,0.0,0.0,events/second
1773147211,28,0.024517452364461043,0.0,0.0,0.0,events/second
