t,value
1773145530,187082168
1773145560,190227896
1773145590,198616504
1773145620,200713656
1773145650,205956536
1773145680,207005112
1773145710,212247992
1773145740,214345144
1773145770,218539448
1773145800,233219512
1773145830,237413816
1773145860,239510968
1773145890,244753848
1773145920,246851000
1773145950,248948152
1773145980,251045304
1773146070,123470888
1773146100,110086864
1773146131,173001424
1773146161,177195728
1773146191,277859024
1773146221,281004752
1773146251,306170576
1773146281,309316304
1773146311,314559184
1773146341,327142096
1773146371,343919312
1773146401,347065040
1773146431,352307920
1773146461,357550800
1773146491,362793680
1773146521,364890832
1773146551,370133712
1773146581,373279440
1773146611,377473744
1773146641,379570896
1773146671,120048336
1773146701,131582672
1773146731,136825552
1773146761,138922704
1773146791,144165584
1773146821,146262736
1773146851,151505616
1773146881,153602768
1773146911,158845648
1773146941,160942800
1773146971,165137104
1773147001,168282832
1773147031,172477136
1773147061,175622864
1773147091,179817168
1773147121,182962896
1773147151,187157200
1773147181,189254352
1773147211,193448656
1773147241,197642960
1773147271,201837264
1773147301,206031568
1773147331,97572648
1773147361,100718376
1773147392,103864104
1773147422,105961256
1773147452,110155560
1773147482,112252712
1773147512,116447016
1773147542,125884200
1773147572,130078504
1773147602,132175656
1773147632,136369960
1773147662,138467112
1773147692,142661416
1773147722,144758568
1773147752,148952872
1773147782,150001448
1773147812,154195752
1773147842,156292904
1773147872,161535784
1773147902,163632936
1773147932,168875816
1773147962,170972968
1773147992,175167272
1773148022,176215848
1773148052,181458728
1773148082,182507304
1773148112,186701608
1773148142,188798760
1773148172,192993064
1773148202,195090216
1773148232,199284520
1773148262,201381672
1773148292,205575976
1773148322,206624552
1773148352,210818856
1773148382,212916008
1773148412,217110312
1773148442,219207464
1773148472,224450344
1773148502,226547496
1773148532,230741800
1773148562,232838952
1773148592,237033256
1773148622,239130408
1773148652,243324712
1773148682,244373288
1773148712,248567592
1773148742,250664744
1773148772,254859048
1773148802,256956200
1773148832,261150504
1773148862,263247656
1773148892,266393384
1773148922,268490536
1773148952,272684840
1773148982,275830568
1773149012,280024872
1773149042,282122024
1773149072,286316328
1773149102,288413480
1773149132,292607784
1773149162,295753512
1773149192,298899240
1773149222,300996392
1773149252,305190696
1773149282,307287848
1773149312,311482152
1773149342,313579304
1773149372,317773608
1773149402,319870760
1773149432,324065064
1773149462,326162216
1773149492,329307944
1773149522,331405096
1773149552,335599400
1773149582,337696552
1773149612,341890856
1773149642,343988008
1773149672,348182312
1773149702,350279464
1773149732,354473768
1773149762,356570920
1773149792,361813800
1773149822,364959528
1773149852,369153832
1773149882,372299560
1773149912,376493864
1773149942,378591016
1773149972,383833896
1773150002,385931048
1773150032,390125352
1773150062,393271080
1773150092,397465384
1773150122,94508192
1773150152,99751072
1773150182,101848224
1773150212,106042528
1773150242,109188256
1773150272,114431136
1773150302,116528288
1773150333,121771168
1773150363,123868320
1773150393,130159776
1773150423,131208352
1773150453,136451232
1773150483,138548384
1773150513,142742688
1773150543,145888416
1773150573,149034144
1773150603,152179872
1773150633,156374176
1773150663,159519904
1773150693,163714208
1773150723,165811360
1773150753,171054240
1773150783,173151392
1773150813,177345696
1773150843,179442848
1773150873,185734304
1773150903,187831456
1773150933,193074336
1773150963,195171488
1773150993,200414368
1773151023,202511520
1773151053,206705824
1773151083,209851552
1773151113,214045856
1773151143,217191584
1773151173,221385888
1773151203,224531616
1773151233,228725920
1773151263,230823072
1773151293,235017376
1773151323,237114528
1773151353,242357408
1773151383,245503136
1773151413,249697440
1773151443,251794592
1773151473,255988896
1773151503,259134624
1773151533,263328928
1773151563,266474656
1773151593,271717536
1773151623,273814688
1773151653,279057568
1773151683,282203296
1773151713,285349024
1773151743,287446176
1773151773,291640480
1773151803,294786208
1773151833,300029088
1773151863,302126240
1773151893,306320544
1773151923,309466272
1773151953,313660576
1773151983,315757728
1773152013,321000608
1773152043,323097760
1773152073,328340640
1773152103,330437792
1773152133,334632096
1773152163,336729248
1773152193,343020704
1773152223,345117856
1773152253,350360736
1773152283,352457888
1773152313,357700768
1773152343,359797920
1773152373,363992224
1773152403,366089376
1773152433,371332256
1773152463,373429408
1773152493,377623712
1773152523,379720864
1773152553,384963744
1773152583,387060896
1773152613,390206624
1773152643,392303776
1773152673,397546656
1773152703,89290552
1773152733,93484856
1773152763,96630584
1773152793,100824888
1773152823,102922040
1773152853,107116344
1773152883,109213496
1773152913,114456376
1773206880,355756936
1773206912,373582728
1773206942,377777032
1773206972,127198072
1773207002,131392376
1773207032,136635256
1773207062,138732408
1773207092,92591496
1773207122,97834376
1773207152,114611592
1773207182,117757320
1773207212,121951624
1773207242,124048776
1773207272,129291656
1773207302,131388808
1773207332,322229640
1773207362,324326792
1773207392,328521096
1773207422,330618248
1773207452,363124104
1773207482,373609864
1773207512,376755592
1773207542,379901320
1773207572,387079744
1773207602,389176896
1773207632,98210640
1773207662,104502096
1773207693,109744976
1773207723,113939280
1773207753,119182160
1773207783,131765072
1773207813,135959376
1773207843,138056528
1773207873,151688016
1773207903,153785168
1773207933,157979472
1773207963,162173776
1773207993,169513808
1773208023,171610960
