t,value
1773145530,1
1773145560,1
1773145590,1
1773145620,1
1773145650,1
1773145680,1
1773145710,1
1773145740,1
1773145770,1
1773145800,1
1773145830,1
1773145860,1
1773145890,1
1773145920,1
1773145950,1
1773145980,1
1773146070,152
1773146100,136
1773146131,3
1773146161,3
1773146191,3
1773146221,3
1773146251,3
1773146281,3
1773146311,3
1773146341,3
1773146371,3
1773146401,3
1773146431,3
1773146461,3
1773146491,3
1773146521,3
1773146551,3
1773146581,3
1773146611,3
1773146641,3
1773146671,487
1773146701,16403
1773146731,16403
1773146761,16403
1773146791,16403
1773146821,16403
1773146851,16403
1773146881,16403
1773146911,16403
1773146941,16403
1773146971,16403
1773147001,16403
1773147031,16403
1773147061,16403
1773147091,16403
1773147121,16403
1773147151,16403
1773147181,16403
1773147211,16403
1773147241,16403
1773147271,16403
1773147301,16403
1773147331,16403
1773147361,16403
1773147392,16403
1773147422,16403
1773147452,16403
1773147482,16403
1773147512,16403
1773147542,16403
1773147572,16403
1773147602,16403
1773147632,16403
1773147662,16403
1773147692,16403
1773147722,16403
1773147752,16403
1773147782,16403
1773147812,16403
1773147842,16403
1773147872,16403
1773147902,16403
1773147932,16403
1773147962,16403
1773147992,16403
1773148022,16403
1773148052,16403
1773148082,16403
1773148112,16403
1773148142,16403
1773148172,16403
1773148202,16403
1773148232,16403
1773148262,16403
1773148292,16403
1773148322,16403
1773148352,16403
1773148382,16403
1773148412,16403
1773148442,16403
1773148472,16403
1773148502,16403
1773148532,16403
1773148562,16403
1773148592,16403
1773148622,16403
1773148652,16403
1773148682,16403
1773148712,16403
1773148742,16403
1773148772,16403
1773148802,16403
1773148832,16403
1773148862,16403
1773148892,16403
1773148922,16403
1773148952,16403
1773148982,16403
1773149012,16403
1773149042,16403
1773149072,16403
1773149102,16403
1773149132,16403
1773149162,16403
1773149192,16403
1773149222,16403
1773149252,16403
1773149282,16403
1773149312,16403
1773149342,16403
1773149372,16403
1773149402,16403
1773149432,16403
1773149462,16403
1773149492,16403
1773149522,16403
1773149552,16403
1773149582,16403
1773149612,16403
1773149642,16403
1773149672,16403
1773149702,16403
1773149732,16403
1773149762,16403
1773149792,16403
1773149822,16403
1773149852,16403
1773149882,16403
1773149912,16403
1773149942,16403
1773149972,16403
1773150002,16403
1773150032,16403
