t,value
1773145530,100663296
1773145560,103809024
1773145590,112197632
1773145620,114294784
1773145650,119537664
1773145680,120586240
1773145710,125829120
1773145740,127926272
1773145770,132120576
1773145800,146800640
1773145830,150994944
1773145860,153092096
1773145890,158334976
1773145920,160432128
1773145950,162529280
1773145980,164626432
1773146070,45088768
1773146100,24117248
1773146131,87031808
1773146161,92274688
1773146191,191889408
1773146221,195035136
1773146251,220200960
1773146281,223346688
1773146311,228589568
1773146341,241172480
1773146371,257949696
1773146401,261095424
1773146431,266338304
1773146461,271581184
1773146491,276824064
1773146521,278921216
1773146551,284164096
1773146581,287309824
1773146611,291504128
1773146641,293601280
1773146671,31457280
1773146701,42991616
1773146731,48234496
1773146761,50331648
1773146791,55574528
1773146821,57671680
1773146851,62914560
1773146881,65011712
1773146911,70254592
1773146941,72351744
1773146971,76546048
1773147001,79691776
1773147031,83886080
1773147061,87031808
1773147091,91226112
1773147121,94371840
1773147151,98566144
1773147181,100663296
1773147211,104857600
1773147241,109051904
1773147271,113246208
1773147301,117440512
1773147331,6291456
1773147361,9437184
1773147392,12582912
1773147422,14680064
1773147452,18874368
1773147482,20971520
1773147512,25165824
1773147542,34603008
1773147572,38797312
1773147602,40894464
1773147632,45088768
1773147662,47185920
1773147692,51380224
1773147722,53477376
1773147752,57671680
1773147782,58720256
1773147812,62914560
1773147842,65011712
1773147872,70254592
1773147902,72351744
1773147932,77594624
1773147962,79691776
1773147992,83886080
1773148022,84934656
1773148052,90177536
1773148082,91226112
1773148112,95420416
1773148142,97517568
1773148172,101711872
1773148202,103809024
1773148232,108003328
1773148262,110100480
1773148292,114294784
1773148322,115343360
1773148352,119537664
1773148382,121634816
1773148412,125829120
1773148442,127926272
1773148472,133169152
1773148502,135266304
1773148532,139460608
1773148562,141557760
1773148592,145752064
1773148622,147849216
1773148652,152043520
1773148682,153092096
1773148712,157286400
1773148742,159383552
1773148772,163577856
1773148802,165675008
1773148832,169869312
1773148862,171966464
1773148892,175112192
1773148922,177209344
1773148952,181403648
1773148982,184549376
1773149012,188743680
1773149042,190840832
1773149072,195035136
1773149102,197132288
1773149132,201326592
1773149162,204472320
1773149192,207618048
1773149222,209715200
1773149252,213909504
1773149282,216006656
1773149312,220200960
1773149342,222298112
1773149372,226492416
1773149402,228589568
1773149432,232783872
1773149462,234881024
1773149492,238026752
1773149522,240123904
1773149552,244318208
1773149582,246415360
1773149612,250609664
1773149642,252706816
1773149672,256901120
1773149702,258998272
1773149732,263192576
1773149762,265289728
1773149792,270532608
1773149822,273678336
1773149852,277872640
1773149882,281018368
1773149912,285212672
1773149942,287309824
1773149972,292552704
1773150002,294649856
1773150032,298844160
1773150062,301989888
1773150092,306184192
1773150122,4194304
1773150152,9437184
1773150182,11534336
1773150212,15728640
1773150242,18874368
1773150272,24117248
1773150302,26214400
1773150333,31457280
1773150363,33554432
1773150393,39845888
1773150423,40894464
1773150453,46137344
1773150483,48234496
1773150513,52428800
1773150543,55574528
1773150573,59768832
1773150603,61865984
1773150633,66060288
1773150663,69206016
1773150693,73400320
1773150723,75497472
1773150753,80740352
1773150783,82837504
1773150813,87031808
1773150843,89128960
1773150873,95420416
1773150903,97517568
1773150933,102760448
1773150963,104857600
1773150993,110100480
1773151023,112197632
1773151053,116391936
1773151083,119537664
1773151113,123731968
1773151143,126877696
