t,value
1773145530,64062792
1773145560,64062792
1773145590,64062792
1773145620,64062792
1773145650,64062792
1773145680,64062792
1773145710,64062792
1773145740,64062792
1773145770,64062792
1773145800,64062792
1773145830,64062792
1773145860,64062792
1773145890,64062792
1773145920,64062792
1773145950,64062792
1773145980,64062792
1773146070,51322408
1773146100,63425232
1773146131,63425232
1773146161,63425232
1773146191,63425232
1773146221,63425232
1773146251,63425232
1773146281,63425232
1773146311,63425232
1773146341,63425232
1773146371,63425232
1773146401,63425232
1773146431,63425232
1773146461,63425232
1773146491,63425232
1773146521,63425232
1773146551,63425232
1773146581,63425232
1773146611,63425232
1773146641,63425232
1773146671,63425232
1773146701,63425232
1773146731,63425232
1773146761,63425232
1773146791,63425232
1773146821,63425232
1773146851,63425232
1773146881,63425232
1773146911,63425232
1773146941,63425232
1773146971,63425232
1773147001,63425232
1773147031,63425232
1773147061,63425232
1773147091,63425232
1773147121,63425232
1773147151,63425232
1773147181,63425232
1773147211,63425232
1773147241,63425232
1773147271,63425232
1773147301,63425232
1773147331,78358400
1773147361,78358400
1773147392,78358400
1773147422,78358400
1773147452,78358400
1773147482,78358400
1773147512,78358400
1773147542,78358400
1773147572,78358400
1773147602,78358400
1773147632,78358400
1773147662,78358400
1773147692,78358400
1773147722,78358400
1773147752,78358400
1773147782,78358400
1773147812,78358400
1773147842,78358400
1773147872,78358400
1773147902,78358400
1773147932,78358400
1773147962,78358400
1773147992,78358400
1773148022,78358400
1773148052,78358400
1773148082,78358400
1773148112,78358400
1773148142,78358400
1773148172,78358400
1773148202,78358400
1773148232,78358400
1773148262,78358400
1773148292,78358400
1773148322,78358400
1773148352,78358400
1773148382,78358400
1773148412,78358400
1773148442,78358400
1773148472,78358400
1773148502,78358400
1773148532,78358400
1773148562,78358400
1773148592,78358400
1773148622,78358400
1773148652,78358400
1773148682,78358400
1773148712,78358400
1773148742,78358400
1773148772,78358400
1773148802,78358400
1773148832,78358400
1773148862,78358400
1773148892,78358400
1773148922,78358400
1773148952,78358400
1773148982,78358400
1773149012,78358400
1773149042,78358400
1773149072,78358400
1773149102,78358400
1773149132,78358400
1773149162,78358400
1773149192,78358400
1773149222,78358400
1773149252,78358400
1773149282,78358400
1773149312,78358400
1773149342,78358400
1773149372,78358400
1773149402,78358400
1773149432,78358400
1773149462,78358400
1773149492,78358400
1773149522,78358400
1773149552,78358400
1773149582,78358400
1773149612,78358400
1773149642,78358400
1773149672,78358400
1773149702,78358400
1773149732,78358400
1773149762,78358400
1773149792,78358400
1773149822,78358400
1773149852,78358400
1773149882,78358400
1773149912,78358400
1773149942,78358400
1773149972,78358400
1773150002,78358400
1773150032,78358400
1773150062,78358400
1773150092,78358400
1773150122,78358400
1773150152,78358400
1773150182,78358400
1773150212,78358400
1773150242,78358400
1773150272,78358400
1773150302,78358400
1773150333,78358400
1773150363,78358400
1773150393,78358400
1773150423,78358400
1773150453,78358400
1773150483,78358400
1773150513,78358400
1773150543,78358400
1773150573,78358400
1773150603,78358400
1773150633,78358400
1773150663,78358400
1773150693,78358400
1773150723,78358400
1773150753,78358400
1773150783,78358400
1773150813,78358400
1773150843,78358400
1773150873,78358400
1773150903,78358400
1773150933,78358400
1773150963,78358400
1773150993,78358400
1773151023,78358400
1773151053,78358400
1773151083,78358400
1773151113,78358400
1773151143,78358400
1773151173,78358400
1773151203,78358400
1773151233,78358400
1773151263,78358400
1773151293,78358400
1773151323,78358400
1773151353,78358400
1773151383,78358400
1773151413,78358400
1773151443,78358400
1773151473,78358400
1773151503,78358400
1773151533,78358400
1773151563,78358400
1773151593,78358400
1773151623,78358400
1773151653,78358400
1773151683,78358400
1773151713,78358400
1773151743,78358400
1773151773,78358400
1773151803,78358400
1773151833,78358400
1773151863,78358400
1773151893,78358400
1773151923,78358400
1773151953,78358400
1773151983,78358400
1773152013,78358400
1773152043,78358400
1773152073,78358400
1773152103,78358400
1773152133,78358400
1773152163,78358400
1773152193,78358400
1773152223,78358400
1773152253,78358400
1773152283,78358400
1773152313,78358400
1773152343,78358400
1773152373,78358400
1773152403,78358400
1773152433,78358400
1773152463,78358400
1773152493,78358400
1773152523,78358400
1773152553,78358400
1773152583,78358400
1773152613,78358400
1773152643,78358400
1773152673,78358400
1773152703,76534656
1773152733,76534656
1773152763,76534656
1773152793,76534656
1773152823,76534656
1773152853,76534656
1773152883,76534656
1773152913,76534656
1773206880,77884296
1773206912,77884296
1773206942,77884296
1773206972,78963576
1773207002,78963576
1773207032,78963576
1773207062,78963576
1773207092,78963576
1773207122,78963576
1773207152,78963576
1773207182,78963576
1773207212,78963576
1773207242,78963576
1773207272,78963576
1773207302,78963576
1773207332,89449336
1773207362,89449336
1773207392,89449336
1773207422,89449336
1773207452,89449336
1773207482,89449336
1773207512,89449336
1773207542,89449336
1773207572,78963576
1773207602,78963576
1773207632,77239120
1773207662,77239120
1773207693,77239120
1773207723,77239120
1773207753,77239120
1773207783,77239120
1773207813,77239120
1773207843,77239120
1773207873,77239120
1773207903,77239120
1773207933,77239120
1773207963,77239120
1773207993,77239120
1773208023,77239120
1773208053,77239120
1773208083,77239120
1773208113,77239120
1773208143,77239120
1773208173,77239120
1773208203,77239120
1773211140,51920800
1773211173,79560120
1773211203,79560120
1773211233,79560120
1773211263,79560120
1773211293,79560120
1773211323,79560120
1773211353,79560120
1773211383,79296576
1773211413,79296576
1773211443,79296576
1773211473,79296576
1773211503,79296576
1773211533,79296576
1773211563,79296576
1773211593,79296576
1773211623,79296576
1773211653,79296576
1773211683,79296576
1773211713,79296576
1773211743,79296576
1773211773,79296576
1773211803,79296576
1773211833,79296576
1773211863,79296576
1773211893,79296576
1773211923,79296576
1773211953,79296576
1773211983,79296576
1773212013,79296576
1773212043,79296576
1773212073,79296576
1773212103,79296576
1773212133,79296576
1773212163,79296576
1773212193,79296576
1773212223,79296576
1773212253,79296576
1773212283,79296576
1773212313,79296576
1773212343,79296576
1773212373,79296576
1773212403,79296576
1773212433,79296576
1773212670,51631984
1773212820,51348544
1773212851,79907072
1773212881,79907072
1773212911,79907072
1773212941,79907072
1773212971,79907072
1773213001,79907072
1773213031,79907072
1773213061,79907072
1773213091,79907072
1773213121,79907072
1773213151,79907072
1773213181,79907072
1773213211,79907072
1773213241,79907072
1773213271,79907072
1773213301,79907072
1773213331,79907072
1773213361,79907072
1773213391,79907072
1773213421,79907072
1773213451,79907072
1773213481,79907072
1773213511,79907072
1773213541,79907072
1773213571,79907072
1773213601,79907072
1773213631,79907072
1773213661,79907072
1773213691,79907072
1773213721,79907072
1773213751,79907072
1773213781,79907072
1773213811,79907072
1773213841,79907072
1773213871,79907072
1773213901,79907072
1773213931,79907072
1773213961,79907072
1773213991,79907072
1773214021,79907072
1773214051,79907072
1773214081,79907072
1773214111,79907072
1773214141,79907072
1773214171,79907072
1773214201,79907072
1773214231,79907072
1773214261,79907072
1773214291,79907072
1773214321,79907072
1773214352,79907072
1773214382,79907072
1773214412,79907072
1773214442,79907072
1773214472,79907072
1773214502,79907072
1773214532,79907072
1773214562,79907072
1773214592,79907072
1773214622,79907072
1773214652,79907072
1773214682,79907072
1773214712,79907072
1773214742,79907072
1773214772,79907072
1773214802,79907072
1773214832,79907072
1773214862,79907072
1773214892,79907072
1773214922,79907072
1773214952,79907072
1773214982,79907072
1773215012,79907072
1773215042,79907072
1773215072,79907072
1773215102,79907072
1773215132,79907072
1773215162,79907072
1773215192,79907072
1773215222,79907072
1773215252,79907072
1773215282,79907072
1773215312,79907072
1773215342,79907072
1773215372,79907072
1773215402,79907072
1773215432,79907072
1773215462,79907072
1773215492,79907072
1773215522,79907072
1773215552,79907072
1773215582,79907072
1773215612,79907072
1773215642,79907072
1773215672,79907072
1773215702,79907072
1773215732,79907072
1773215762,79907072
1773215792,79907072
1773215822,79907072
1773215852,79907072
1773215882,79907072
1773215912,79907072
1773215942,79907072
1773215972,79907072
1773216002,79907072
1773216032,79907072
1773216062,79907072
1773216092,79907072
1773216122,79907072
1773216152,79907072
1773216182,79907072
1773216212,79907072
1773216242,79907072
1773216272,79907072
1773216302,79907072
1773216332,79907072
1773216362,79907072
1773216392,79907072
1773216422,79907072
1773216452,79907072
1773216482,79907072
1773216512,79907072
