t,value
1773145530,124
1773145560,123
1773145590,93
1773145620,93
1773145650,91
1773145680,91
1773145710,90
1773145740,90
1773145770,89
1773145800,89
1773145830,85
1773145860,84
1773145890,84
1773145920,84
1773145950,84
1773145980,84
1773146070,116
1773146100,142
1773146131,90
1773146161,89
1773146191,89
1773146221,89
1773146251,89
1773146281,89
1773146311,87
1773146341,87
1773146371,86
1773146401,83
1773146431,82
1773146461,82
1773146491,82
1773146521,81
1773146551,81
1773146581,81
1773146611,81
1773146641,81
1773146671,93
1773146701,92
1773146731,91
1773146761,90
1773146791,89
1773146821,88
1773146851,88
1773146881,88
1773146911,88
1773146941,88
1773146971,88
1773147001,88
1773147031,88
1773147061,88
1773147091,88
1773147121,88
1773147151,88
1773147181,88
1773147211,88
1773147241,88
1773147271,89
1773147301,91
1773147331,90
1773147361,89
1773147392,89
1773147422,88
1773147452,88
1773147482,87
1773147512,88
1773147542,88
1773147572,88
1773147602,88
1773147632,88
1773147662,88
1773147692,88
1773147722,88
1773147752,88
1773147782,88
1773147812,88
1773147842,88
1773147872,89
1773147902,89
1773147932,90
1773147962,89
1773147992,88
1773148022,88
1773148052,87
1773148082,87
1773148112,87
1773148142,87
1773148172,87
1773148202,87
1773148232,87
1773148262,87
1773148292,87
1773148322,87
1773148352,87
1773148382,87
1773148412,87
1773148442,87
1773148472,88
1773148502,88
1773148532,89
1773148562,89
1773148592,88
1773148622,88
1773148652,87
1773148682,87
1773148712,87
1773148742,87
1773148772,87
1773148802,87
1773148832,87
1773148862,87
1773148892,87
1773148922,87
1773148952,87
1773148982,88
1773149012,88
1773149042,87
1773149072,87
1773149102,87
1773149132,87
1773149162,89
1773149192,89
1773149222,88
1773149252,88
1773149282,87
1773149312,87
1773149342,87
1773149372,87
1773149402,87
1773149432,87
1773149462,87
1773149492,87
1773149522,87
1773149552,87
1773149582,87
1773149612,87
1773149642,87
1773149672,87
1773149702,87
1773149732,89
1773149762,89
1773149792,90
1773149822,93
1773149852,93
1773149882,92
1773149912,92
1773149942,91
1773149972,91
1773150002,91
1773150032,91
1773150062,91
1773150092,91
1773150122,91
1773150152,91
1773150182,91
1773150212,91
1773150242,91
1773150272,92
1773150302,92
1773150333,91
1773150363,91
1773150393,93
1773150423,93
1773150453,93
1773150483,92
1773150513,92
1773150543,91
1773150573,90
1773150603,91
1773150633,91
1773150663,91
1773150693,91
1773150723,91
1773150753,91
1773150783,91
1773150813,91
1773150843,91
1773150873,92
1773150903,92
1773150933,91
1773150963,91
1773150993,92
1773151023,93
1773151053,93
1773151083,92
1773151113,92
1773151143,91
1773151173,91
1773151203,91
1773151233,91
1773151263,91
1773151293,91
1773151323,91
1773151353,91
1773151383,91
1773151413,91
1773151443,91
1773151473,91
1773151503,92
1773151533,91
1773151563,91
1773151593,93
1773151623,93
1773151653,93
1773151683,92
1773151713,92
1773151743,91
1773151773,91
1773151803,91
1773151833,91
1773151863,91
1773151893,90
1773151923,91
1773151953,91
1773151983,91
1773152013,91
1773152043,91
1773152073,91
1773152103,91
1773152133,91
1773152163,91
1773152193,93
1773152223,93
1773152253,93
1773152283,92
1773152313,92
1773152343,91
1773152373,91
1773152403,91
1773152433,91
1773152463,91
1773152493,91
1773152523,91
1773152553,91
1773152583,91
1773152613,91
1773152643,91
1773152673,92
1773152703,92
1773152733,91
1773152763,91
1773152793,94
1773152823,94
1773152853,93
1773152883,94
1773152913,94
1773206880,161
1773206912,95
1773206942,92
1773206972,92
1773207002,93
1773207032,91
1773207062,91
1773207092,89
1773207122,89
1773207152,91
1773207182,87
1773207212,85
1773207242,85
1773207272,85
1773207302,85
1773207332,89
1773207362,89
1773207392,87
1773207422,87
1773207452,103
1773207482,104
1773207512,101
1773207542,100
1773207572,104
1773207602,104
1773207632,103
1773207662,103
1773207693,102
1773207723,101
1773207753,100
1773207783,105
1773207813,105
1773207843,102
1773207873,102
1773207903,100
1773207933,100
1773207963,101
1773207993,101
1773208023,101
1773208053,103
1773208083,106
1773208113,106
1773208143,103
1773208173,104
1773208203,117
1773211140,139
1773211173,166
1773211203,100
1773211233,97
1773211263,97
1773211293,95
1773211323,95
1773211353,93
1773211383,93
1773211413,93
1773211443,94
1773211473,90
1773211503,88
1773211533,88
1773211563,88
1773211593,88
1773211623,88
1773211653,88
1773211683,88
1773211713,88
1773211743,98
1773211773,99
1773211803,96
1773211833,96
1773211863,93
1773211893,93
1773211923,93
1773211953,93
1773211983,93
1773212013,97
1773212043,97
1773212073,96
1773212103,95
1773212133,94
1773212163,93
1773212193,93
1773212223,93
1773212253,93
1773212283,93
1773212313,93
1773212343,95
1773212373,101
1773212403,104
1773212433,108
1773212670,133
1773212820,132
1773212851,158
1773212881,101
1773212911,100
1773212941,98
1773212971,98
1773213001,96
1773213031,96
1773213061,94
1773213091,94
1773213121,95
1773213151,92
1773213181,95
1773213211,93
1773213241,94
1773213271,93
1773213301,95
1773213331,95
1773213361,94
1773213391,94
1773213421,106
1773213451,108
1773213481,106
1773213511,106
1773213541,105
1773213571,104
1773213601,102
1773213631,107
1773213661,107
1773213691,105
1773213721,105
1773213751,103
1773213781,103
1773213811,103
1773213841,106
1773213871,106
1773213901,104
1773213931,104
1773213961,102
1773213991,106
1773214021,107
1773214051,106
1773214081,107
1773214111,106
1773214141,104
1773214171,104
1773214201,103
1773214231,106
1773214261,107
1773214291,106
1773214321,105
1773214352,105
1773214382,105
1773214412,104
1773214442,104
1773214472,104
1773214502,104
1773214532,104
1773214562,104
1773214592,104
1773214622,107
1773214652,106
1773214682,106
1773214712,107
1773214742,106
1773214772,106
1773214802,105
1773214832,105
1773214862,105
1773214892,105
1773214922,106
1773214952,106
1773214982,105
1773215012,105
1773215042,105
1773215072,105
1773215102,105
1773215132,105
1773215162,105
1773215192,109
1773215222,109
1773215252,107
1773215282,109
1773215312,106
1773215342,106
1773215372,106
1773215402,105
1773215432,105
1773215462,105
1773215492,105
1773215522,105
1773215552,106
1773215582,105
1773215612,105
1773215642,105
1773215672,105
1773215702,105
1773215732,105
1773215762,105
1773215792,104
1773215822,105
1773215852,105
1773215882,107
1773215912,107
1773215942,106
1773215972,106
1773216002,104
1773216032,103
1773216062,104
1773216092,104
1773216122,107
1773216152,107
1773216182,105
1773216212,105
1773216242,104
1773216272,103
1773216302,104
1773216332,104
1773216362,104
1773216392,104
1773216422,104
1773216452,106
1773216482,106
1773216512,106
1773216542,105
1773216572,105
1773216602,105
1773216632,105
1773216662,109
1773216692,119
1773243090,122
1773243124,145
1773243154,92
1773243184,91
1773243214,90
1773243244,88
1773243274,88
1773243304,86
1773243334,86
1773243364,87
1773243394,87
1773243427,90
1773243457,86
